trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_1,Site_23,False,True,False,2.0,s,0.1509631872177124
Site_1,Site_23,False,True,False,2.0,l,0.16679619252681732
Site_1,Site_23,False,True,False,3.0,s,0.1439928561449051
Site_1,Site_23,False,True,False,3.0,l,0.12997378408908844
Site_1,Site_23,False,True,False,4.0,s,0.13258516788482666
Site_1,Site_23,False,True,False,4.0,l,0.11701606214046478
Site_1,Site_23,False,True,False,5.0,s,0.12159712612628937
Site_1,Site_23,False,True,False,5.0,l,0.12690062820911407
Site_26,Site_25,True,False,False,0.5,s,1.5347881317138672
Site_26,Site_25,True,False,False,0.5,l,1.0176258087158203
Site_26,Site_25,True,False,False,1.0,s,1.197097897529602
Site_26,Site_25,True,False,False,1.0,l,1.0132337808609009
Site_26,Site_25,True,False,False,2.0,s,0.8782283663749695
Site_26,Site_25,True,False,False,2.0,l,1.0101957321166992
Site_26,Site_25,True,False,False,3.0,s,0.7109875082969666
Site_26,Site_25,True,False,False,3.0,l,1.0097976922988892
Site_26,Site_25,True,False,False,4.0,s,0.5798625946044922
Site_26,Site_25,True,False,False,4.0,l,1.0088813304901123
Site_26,Site_25,True,False,False,5.0,s,0.5116491317749023
Site_26,Site_25,True,False,False,5.0,l,1.0084091424942017
Site_24,Site_5,False,False,True,0.5,s,0.13682639598846436
Site_24,Site_5,False,False,True,0.5,l,0.184417262673378
Site_24,Site_5,False,False,True,1.0,s,0.1212257519364357
Site_24,Site_5,False,False,True,1.0,l,0.1900477260351181
Site_24,Site_5,False,False,True,2.0,s,0.09615644812583923
Site_24,Site_5,False,False,True,2.0,l,
Site_24,Site_5,False,False,True,3.0,s,0.08307699859142303
Site_24,Site_5,False,False,True,3.0,l,
Site_24,Site_5,False,False,True,4.0,s,0.07363077998161316
Site_24,Site_5,False,False,True,4.0,l,
Site_24,Site_5,False,False,True,5.0,s,
Site_24,Site_5,False,False,True,5.0,l,
Site_1,Site_25,False,False,False,0.5,s,0.1751464456319809
Site_1,Site_25,False,False,False,0.5,l,0.44846415519714355
Site_1,Site_25,False,False,False,1.0,s,0.16084492206573486
Site_1,Site_25,False,False,False,1.0,l,0.2806204557418823
Site_1,Site_25,False,False,False,2.0,s,0.14777600765228271
Site_1,Site_25,False,False,False,2.0,l,0.16804780066013336
Site_1,Site_25,False,False,False,3.0,s,0.16767504811286926
Site_1,Site_25,False,False,False,3.0,l,0.12172555178403854
Site_1,Site_25,False,False,False,4.0,s,0.18912255764007568
Site_1,Site_25,False,False,False,4.0,l,0.09726861119270325
Site_1,Site_25,False,False,False,5.0,s,0.19894807040691376
Site_1,Site_25,False,False,False,5.0,l,0.10006652772426605
Site_23,Site_26,False,False,False,0.5,s,0.606766939163208
Site_23,Site_26,False,False,False,0.5,l,0.9970778822898865
Site_23,Site_26,False,False,False,1.0,s,0.3818007707595825
Site_23,Site_26,False,False,False,1.0,l,1.0019896030426025
Site_23,Site_26,False,False,False,2.0,s,0.3159250319004059
Site_23,Site_26,False,False,False,2.0,l,0.9934097528457642
Site_23,Site_26,False,False,False,3.0,s,0.32870498299598694
Site_23,Site_26,False,False,False,3.0,l,
Site_23,Site_26,False,False,False,4.0,s,0.3534439504146576
Site_23,Site_26,False,False,False,4.0,l,
Site_23,Site_26,False,False,False,5.0,s,0.3677706718444824
Site_23,Site_26,False,False,False,5.0,l,
Site_23,Site_24,True,False,True,0.5,s,0.2107703983783722
Site_23,Site_24,True,False,True,0.5,l,0.5057540535926819
Site_23,Site_24,True,False,True,1.0,s,0.16653145849704742
Site_23,Site_24,True,False,True,1.0,l,0.40608474612236023
Site_23,Site_24,True,False,True,2.0,s,0.14332915842533112
Site_23,Site_24,True,False,True,2.0,l,0.2475932389497757
Site_23,Site_24,True,False,True,3.0,s,0.14895139634609222
Site_23,Site_24,True,False,True,3.0,l,0.25766241550445557
Site_23,Site_24,True,False,True,4.0,s,0.15654972195625305
Site_23,Site_24,True,False,True,4.0,l,0.2546301782131195
Site_23,Site_24,True,False,True,5.0,s,0.15407098829746246
Site_23,Site_24,True,False,True,5.0,l,0.2589568793773651
Site_24,Site_23,False,False,False,0.5,s,0.323699027299881
Site_24,Site_23,False,False,False,0.5,l,0.2960876226425171
Site_24,Site_23,False,False,False,1.0,s,0.2986193597316742
Site_24,Site_23,False,False,False,1.0,l,0.22956742346286774
Site_24,Site_23,False,False,False,2.0,s,0.27672070264816284
Site_24,Site_23,False,False,False,2.0,l,0.18579943478107452
Site_24,Site_23,False,False,False,3.0,s,0.2444109469652176
Site_24,Site_23,False,False,False,3.0,l,0.1566590517759323
Site_24,Site_23,False,False,False,4.0,s,0.21458210051059723
Site_24,Site_23,False,False,False,4.0,l,0.1630069762468338
Site_24,Site_23,False,False,False,5.0,s,0.18048109114170074
Site_24,Site_23,False,False,False,5.0,l,0.18211059272289276
Site_24,Site_26,True,False,True,0.5,s,0.24798257648944855
Site_24,Site_26,True,False,True,0.5,l,1.0129880905151367
Site_24,Site_26,True,False,True,1.0,s,0.2151951938867569
Site_24,Site_26,True,False,True,1.0,l,1.0045987367630005
Site_24,Site_26,True,False,True,2.0,s,0.19706109166145325
Site_24,Site_26,True,False,True,2.0,l,1.0011532306671143
